Std,ID,Material,Heat treatment,Su,Sy,A5,Bhn,E,G,mu,Ro,pH,Desc,HV
ANSI,5D7646BB490A4A41A0C059C46224189F,Steel SAE 1050,normalized,748,427,20,217,207000,79000,0.3,7860,,,
ANSI,4DD78B764534417698C437FBECD1B914,Steel SAE 1050,annealed,636,365,23.7,187,207000,79000,0.3,7860,390,,
ANSI,60F13C35666C4904BB693C60FFC8297E,Steel SAE 1050,tempered at 600 F,979,724,14,321,207000,79000,0.3,7860,,,
ANSI,EC7B0B89340448B2A2A9AA29CC77DFB8,Steel SAE 1060,as-rolled,814,483,17,241,207000,79000,0.3,7860,,,
ANSI,EDF9BFB1E0D14FADAAFE02B8B7157D69,Steel SAE 1060,normalized,776,421,18,229,207000,79000,0.3,7860,,,
ANSI,2A8B4A39AA164951BF57C49A2FD5A8C0,Steel SAE 1060,annealed,626,372,22.5,179,207000,79000,0.3,7860,370,,
ANSI,51BB6C68630743439C326AAF86EA0D7C,Steel SAE 1060,tempered at 600 F,1103,779,13,321,207000,79000,0.3,7860,600,,
ANSI,677DEA95360F4ED08E9D8BA76BD75254,Steel SAE 1080,as-rolled,965,586,12,293,207000,79000,0.3,7860,,,
ANSI,E675A2F2E21E40B8830C1B3F23114D89,Steel SAE 1080,normalized,1010,524,11,293,207000,79000,0.3,7860,,,
ANSI,4D3E61A5DD21432FA051902D9F8B4567,Steel SAE 1080,annealed,615,376,24.7,174,207000,79000,0.3,7860,360,,
ANSI,CE4812A480FD405E8E0DAA0516695E81,Steel SAE 1080,tempered at 600 F,1303,979,12,388,207000,79000,0.3,7860,,,
ANSI,683B75ED3E71416BA59C281AA8342B0A,Steel SAE 1095,as-rolled,965,572,9,293,207000,79000,0.3,7860,,,
ANSI,5624C3966397415184BEEE0B6D6EEF68,Steel SAE 1095,normalized,1014,500,9.5,293,207000,79000,0.3,7860,,,
ANSI,388DD3EB93E1425BACFFD7A927F1E4B1,Steel SAE 1095,annealed,657,379,13,192,207000,79000,0.3,7860,,,
ANSI,18E85A7791694976A24C8E052BD13769,Steel SAE 1095,tempered at 400 F,1289,827,10,401,207000,79000,0.3,7860,,,
ANSI,76D2C71250F34F3BB4E20D9795D8FDF9,Steel SAE 1117,as-rolled,487,305,33,143,207000,79000,0.3,7860,,,
ANSI,8F59F91D01774EAD9862D688E8862F62,Steel SAE 1117,normalized,467,303,33.5,137,207000,79000,0.3,7860,,,
ANSI,5412CBE18E014D6CA2349F98FDCB7CF1,Steel SAE 1117,annealed,429,279,32.8,121,207000,79000,0.3,7860,,,
ANSI,B31ADD3ACE6D429EAED969BF1A48FCE8,Steel SAE 1118,as-rolled,521,316,32,149,207000,79000,0.3,7860,,,
ANSI,14E4B51BED3342A7936E3D09E5E5B406,Steel SAE 1118,normalized,477,319,33.5,143,207000,79000,0.3,7860,,,
ANSI,AEFFF966ED4E441BB320C8A8A4365FFA,Steel SAE 1118,annealed,450,284,34.5,131,207000,79000,0.3,7860,,,
ANSI,CF27002A1B9448539D2074C9C99A411A,Steel SAE 1137,as-rolled,627,379,28,192,207000,79000,0.3,7860,,,
ANSI,B9823642AF7E4A239F39B049736B33CF,Steel SAE 1137,normalized,669,396,22.5,197,207000,79000,0.3,7860,,,
ANSI,F9E819061E7A4AC799912C9C718136E0,Steel SAE 1137,annealed,584,345,26.8,174,207000,79000,0.3,7860,,,
ANSI,4955B1FBC76643B0A1C62062B4DDDEEB,Steel SAE 1137,tempered at 400 F,1082,938,5,352,207000,79000,0.3,7860,,,
ANSI,B0802701EBB749C9AE296C2ACFA172FE,Steel SAE 1141,as-rolled,676,359,22,192,207000,79000,0.3,7860,,,
ANSI,55104F2A46594921B7EA1A69A87AB996,Steel SAE 1141,normalized,707,405,22.7,201,207000,79000,0.3,7860,,,
ANSI,53A2EC1C4EA24F5AB1E229C4D9E61828,Steel SAE 1141,annealed,598,353,25.5,163,207000,79000,0.3,7860,,,
ANSI,F013E5DB6E4247368996B896F7B42124,Steel SAE 1141,tempered at 400 F,1634,1213,6,461,207000,79000,0.3,7860,,,
ANSI,E766C49F05B941258F0D26D634F9B09C,Steel SAE 1144,as-rolled,703,421,21,212,207000,79000,0.3,7860,,,
ANSI,A6957B64C23249A9B9098108B8822ABD,Steel SAE 1144,normalized,667,400,21,197,207000,79000,0.3,7860,,,
ANSI,70DFA279BC8646BB9186C383AC15A1B7,Steel SAE 1144,annealed,584,346,24.8,167,207000,79000,0.3,7860,,,
ANSI,1EA0C63CE8E646B48BDD0A2CEB4F84AD,Steel SAE 1144,tempered at 400 F,876,627,17,277,207000,79000,0.3,7860,,,
ANSI,DD26C8179B3E480496DF925718220483,Steel SAE 1340,normalized,836,558,22,248,207000,79000,0.3,7860,,,
ANSI,279530D698244B6A8D45448148B661C9,Steel SAE 1340,annealed,703,436,25.5,207,207000,79000,0.3,7860,,,
ANSI,D39EB1FD3E0241B599A4E47F81CFAA23,Steel SAE 1340,tempered at 400 F,1806,1593,11,505,207000,79000,0.3,7860,,,
ANSI,62DAD57F176D4491BCBF13927AB5486D,Steel SAE 3140,normalized,891,600,19.7,262,207000,79000,0.3,7860,,,
ANSI,849657544E284411BDFD5159978EE22F,Steel SAE 3140,annealed,689,422,24.5,197,207000,79000,0.3,7860,,,
ANSI,EF66164C6CFE430B937654F70E12D7EC,Steel SAE 4037,tempered at 400 F,1027,758,6,310,207000,79000,0.3,7860,,,
ANSI,1351D7DC9B18472F95F575337A1358B6,Steel SAE 4042,tempered at 400 F,1800,1662,12,516,207000,79000,0.3,7860,,,
ANSI,E20EC626F1E841248C34272843C62F7B,Steel SAE 4130,normalized,669,436,25.5,197,207000,79000,0.3,7860,,,
ANSI,99C77C3670B54339B60D684BA6E81764,Steel SAE 4130,annealed,560,360,28.2,156,207000,79000,0.3,7860,,,
ANSI,8638842ED9F44FA2AD535A9429DE4BB3,Steel SAE 4130,tempered at 400 F,1627,1462,10,467,207000,79000,0.3,7860,,,
ANSI,676EAF141CD24D92A7C598DFB07ADD96,Steel SAE 4140,normalized,1020,655,17.7,302,207000,79000,0.3,7860,,,
ANSI,F9992EBE68824E398334E26710CE817F,Steel SAE 4140,annealed,655,417,25.7,197,207000,79000,0.3,7860,,,
ANSI,A7414D9AC1834478929B86F5EA58628D,Steel SAE 4140,tempered at 400 F,1772,1641,8,510,207000,79000,0.3,7860,,,
ANSI,0CAC547704BE468E93FC049EC957CCBA,Steel SAE 4150,normalized,1155,734,11.7,321,207000,79000,0.3,7860,,,
ANSI,76B0AE8D9FC84B19B8C9777F23F7535C,Steel SAE 4150,annealed,729,379,20.2,197,207000,79000,0.3,7860,,,
ANSI,0A6487FACA444912BA9AD9187C817B9C,Steel SAE 4150,tempered at 400 F,1931,1724,10,530,207000,79000,0.3,7860,,,
ANSI,900569479B7A433ABE2D53767A0878F2,Steel SAE 4320,normalized,793,464,20.8,235,207000,79000,0.3,7860,,,
ANSI,77BFFA21FE4744069205BF8C549141D0,Steel SAE 4320,annealed,579,425,29,163,207000,79000,0.3,7860,,,
ANSI,689FB068F4FA47B2B368C374BFC50C29,Steel SAE 4340,normalized,1279,862,12.2,363,207000,79000,0.3,7860,,,
ANSI,51C972EA2EF04A728F9F537C74F69671,Steel SAE 4340,annealed,745,472,22,217,207000,79000,0.3,7860,,,
ANSI,40312809F59B4904AE2865372AD4C1F5,Steel SAE 4340,tempered at 400 F,1875,1675,10,520,207000,79000,0.3,7860,,,
ANSI,642039B632684DBB8C35AB46B2B30047,Steel SAE 4620,normalized,574,366,29,174,207000,79000,0.3,7860,,,
ANSI,1A42AEA1CB5F426E8C626FFC15F9C53A,Steel SAE 4620,annealed,512,372,31.3,149,207000,79000,0.3,7860,,,
ANSI,86D694E8101348BEB38DD49AC88C20A3,Steel SAE 4820,normalized,755,484,24,229,207000,79000,0.3,7860,,,
ANSI,B46E961340E14196B2580DEBF16E0369,Steel SAE 4820,annealed,681,464,22.3,197,207000,79000,0.3,7860,420,,
ANSI,4DA8385C719D4A69826B2611122C2C1A,Steel SAE 5046,tempered at 400 F,1744,1407,9,482,207000,79000,0.3,7860,,,
ANSI,DF94587BEC0E447E89452D80240483C5,Steel SAE 5130,tempered at 400 F,1613,1517,10,475,207000,79000,0.3,7860,900,,
ANSI,EFD90FA98D684823B2FE7D7E03959C7A,Steel SAE 5140,normalized,793,472,22.7,229,207000,79000,0.3,7860,470,,
ANSI,93C8A8F26610442C9E6E373AF55A4FBE,Steel SAE 5140,annealed,572,293,28.6,167,207000,79000,0.3,7860,,,
ANSI,48166F06C0144B878E9104A65AC6F831,Steel SAE 5140,tempered at 400 F,1793,1641,9,490,207000,79000,0.3,7860,930,,
ANSI,E84590929F054F399D4B890715AA82DB,Steel SAE 5150,normalized,870,529,20.7,255,207000,79000,0.3,7860,,,
ANSI,C3EA5AD0DAE341A6AB3B8CD6EC191D50,Steel SAE 5150,annealed,676,357,22,197,207000,79000,0.3,7860,,,
ANSI,59714293436F4E3AAFB6C7C21BCB8D6A,Steel SAE 5150,tempered at 400 F,1944,1731,5,525,207000,79000,0.3,7860,,,
ANSI,C500FBB2FE424BD6A5C3804013E041E4,Steel SAE 5160,normalized,957,531,17.5,269,207000,79000,0.3,7860,,,
ANSI,23FDAACF3EE5449195F65F16F609D4D6,Steel SAE 5160,annealed,722,276,17.2,197,207000,79000,0.3,7860,,,
ANSI,D7C18C6812084E65B3E2719ECC60765C,Steel SAE 5160,tempered at 400 F,2220,1793,4,627,207000,79000,0.3,7860,,,
ANSI,995316D125324A8E8A692E5E13334E99,Steel SAE 6150,normalized,939,615,21.8,269,207000,79000,0.3,7860,,,
ANSI,C66C891B7F304727A2A4BF6AC6BB527B,Steel SAE 6150,annealed,667,412,23,197,207000,79000,0.3,7860,,,
ANSI,59CA95AEB9D94C1EAAAD627C601EE5AE,Steel SAE 6150,tempered at 400 F,1931,1689,8,538,207000,79000,0.3,7860,,,
ANSI,2E4BC847E6B54D21BC69AD30393DCFEE,Steel SAE 8620,normalized,633,357,26.3,183,207000,79000,0.3,7860,,,
ANSI,8F16966CB0284A36BAFD4E01AAC804F9,Steel SAE 8620,annealed,536,385,31.3,149,207000,79000,0.3,7860,,,
ANSI,52B681AD628C42C88D4E60ED8D4307A9,Steel SAE 8630,normalized,650,429,23.5,187,207000,79000,0.3,7860,,,
ANSI,EC86DACF22434C808E85D14845FA25F3,Steel SAE 8630,annealed,564,372,29,156,207000,79000,0.3,7860,,,
ANSI,FF15759DE83F481EB447ED12A677851D,Steel SAE 8630,tempered at 400 F,1641,1503,9,465,207000,79000,0.3,7860,,,
ANSI,D18C57467E3D439EA62473DC3D8DB6BA,Steel SAE 8640,tempered at 400 F,1862,1669,10,505,207000,79000,0.3,7860,,,
ANSI,C863DF7515C14B09922C8387B8C52638,Steel SAE 8650,normalized,1024,688,14,302,207000,79000,0.3,7860,,,
ANSI,5CBE1648872F4095BBE8A4464F646437,Steel SAE 8650,annealed,715,386,22.5,212,207000,79000,0.3,7860,,,
ANSI,0DB6991D187947A39B15B06AB9FEEB79,Steel SAE 8650,tempered at 400 F,1937,1675,10,525,207000,79000,0.3,7860,,,
ANSI,D15269446FEB40C29A5E661991D4DBB0,Steel SAE 8660,tempered at 800 F,1634,1551,13,460,207000,79000,0.3,7860,,,
ANSI,B75417F6D216424D9AF09771B2C39A85,Steel SAE 8740,normalized,929,607,16,269,207000,79000,0.3,7860,,,
ANSI,32D908D930EC4DA3889F7D26D7E72E31,Steel SAE 8740,annealed,695,415,22.2,201,207000,79000,0.3,7860,,,
ANSI,0B638593127147AAB0EA387D1DFCC653,Steel SAE 8740,tempered at 400 F,1999,1655,10,578,207000,79000,0.3,7860,,,
ANSI,ACEBB80CDC354F8BBF91798E38C663BF,Steel SAE 9255,normalized,933,579,19.7,269,207000,79000,0.3,7860,,,
ANSI,98B29985B2BF47A8BDB224B16BFCEBDD,Steel SAE 9255,annealed,774,486,21.7,229,207000,79000,0.3,7860,,,
ANSI,AB075783A9CC46C7A8F374F08BBB7357,Steel SAE 9255,tempered at 400 F,2103,2048,1,601,207000,79000,0.3,7860,,,
ANSI,85C5BB31FDEC427E8300403ED6E64D9C,Steel SAE 9260,tempered at 800 F,1758,1503,8,470,207000,79000,0.3,7860,,,
ANSI,05FFFC93A5EB4E2A954734D2738D4CB8,Steel SAE 9310,normalized,907,571,18.8,269,207000,79000,0.3,7860,,,
ANSI,985D533CFF4B4019B57BE92CB46A9C2C,Steel SAE 9310,annealed,820,440,17.3,241,207000,79000,0.3,7860,,,
ANSI,511DB36A18F840F493E796205FB3375F,Steel SAE 30201,annealed,793,379,55,,193000,743000,0.3,8030,,stainless,
ANSI,C820422DF6594CE48208EE78C63F88C3,Steel SAE 30201,1/4-hard,862,517,20,,193000,743000,0.3,8030,,stainless,
ANSI,082215F3E66545348DCC7F2A8D2D29E0,Steel SAE 30201,1/2-hard,1034,758,10,,193000,743000,0.3,8030,,stainless,
ANSI,630B52F32CF347E3A846427EFDFC32CB,Steel SAE 30201,3/4-hard,1207,931,5,,193000,743000,0.3,8030,,stainless,
ANSI,C51342B8B71E4AA6972005DB91BE8E62,Steel SAE 30201,Full-hard,1276,965,4,,193000,743000,0.3,8030,,stainless,
ANSI,C9648FA9B9F249499DC713C2748A77D0,Steel SAE 30202,annealed,724,379,55,,193000,743000,0.3,8030,,stainless,
ANSI,2FD9E4EDBF2244D6BE185B798FB83793,Steel SAE 30202,1/4-hard,862,517,12,,193000,743000,0.3,8030,,stainless,
ANSI,51B16BB19AD34DAA92DD3659C2FDB3F8,Steel SAE 30301,annealed,758,276,60,165,193000,743000,0.3,8030,,stainless,
ANSI,819598B841CD48E3902451D26CCB333E,Steel SAE 30301,1/4-hard,862,517,25,,193000,743000,0.3,8030,,stainless,
ANSI,77A7B865F48C4497B581FFF6BF6F18C4,Steel SAE 30301,1/2-hard,1034,758,15,,193000,743000,0.3,8030,,stainless,
ANSI,B4C8C7C886D34158A666A42E042213ED,Steel SAE 30301,3/4-hard,1207,931,12,,193000,743000,0.3,8030,,stainless,
ANSI,5E71D9C8D57F4992BE9F12922A94BEE1,Steel SAE 30301,Full-hard,1276,965,8,,193000,743000,0.3,8030,,stainless,
ANSI,0517E01F31F644EAB31FCB2999A64AC3,Steel SAE 30302,annealed,621,255,55,155,193000,743000,0.3,8030,,stainless,
ANSI,0E625643E5534CC0B92EDAB787824020,Steel SAE 30302,1/4-hard,862,517,12,,193000,743000,0.3,8030,,stainless,
ANSI,8FC17E7034DB4529A188DB7DC6720D73,Steel SAE 30302B,annealed,655,276,50,165,193000,743000,0.3,8030,,stainless,
ANSI,6CCBB0F496D64C6EA71B2E75C76FA0F5,Steel SAE 30303,annealed,621,241,50,160,193000,743000,0.3,8030,,stainless,
ANSI,6E889E820D974516A9CF03B271A6C03E,Steel SAE 30304,annealed,586,241,55,150,193000,743000,0.3,8030,,stainless,
ANSI,BC6CFCE37E9B4DA0B864F2FB40722808,Steel SAE 30304L,annealed,552,207,55,140,193000,743000,0.3,8030,,stainless,
ANSI,373B847B50794DA990E9FBADAFB020CD,Steel SAE 30305,annealed,586,255,55,156,193000,743000,0.3,8030,,stainless,
ANSI,FDAA4C64583B482C801BA7EE173FD876,Steel SAE 30308,annealed,586,241,55,150,193000,743000,0.3,8030,,stainless,
ANSI,AE5E236D6CD94CEA887FB09A4669D04B,Steel SAE 30309,annealed,621,276,45,165,193000,743000,0.3,8030,,stainless,
ANSI,BC2959E1EF8C408EA2F6D02DD321BFE8,Steel SAE 30310,annealed,655,276,45,170,193000,743000,0.3,8030,,stainless,
ANSI,7387DCA5E54C41EDBF5501E86C56DCAF,Steel SAE 30314,annealed,689,345,45,170,193000,743000,0.3,8030,,stainless,
ANSI,03A4FAFAA2354ABBA7C8AA7225DDD6C6,Steel SAE 30316,annealed,586,241,55,150,193000,743000,0.3,8030,,stainless,
ANSI,795E6C75AF4C48EDA86F32FDC34DA73D,Steel SAE 30316L,annealed,538,207,55,145,193000,743000,0.3,8030,,stainless,
ANSI,5E210758EF6941ED925F476D4D0E1D1C,Steel SAE 30317,annealed,621,276,50,160,193000,743000,0.3,8030,,stainless,
ANSI,A1E7F46F815F4E4FAE46A7231BB5099D,Steel SAE 30321,annealed,600,241,55,150,193000,743000,0.3,8030,,stainless,
ANSI,C82FBBCDC40E4B2CB87AA5D1B4333084,Steel SAE 30347,annealed,634,241,50,160,193000,743000,0.3,8030,,stainless,
ANSI,D6F2306ABB324C57A10425AA5F95B3A9,Steel SAE 30348,annealed,634,241,50,160,193000,743000,0.3,8030,,stainless,
ANSI,9BB2104B1A754907AD9BA3021C49F1C7,Steel SAE 51403,annealed,517,276,30,155,200000,769000,0.3,8030,,stainless,
ANSI,C6E2E39527334C8E894612FC38DCBC0E,Steel SAE 51403,tempered at 400 F,1310,1000,15,390,200000,769000,0.3,8030,,stainless,
ANSI,823FEBE6673A4112996EE5B4F5AB5DD7,Steel SAE 51405,annealed,483,276,30,150,200000,769000,0.3,8030,,stainless,
ANSI,80978696C32542F782EBAAEF63DF6C2B,Steel SAE 51410,annealed,517,276,30,155,200000,769000,0.3,8030,,stainless,
ANSI,4B8B7D0FFB4940A999524B05A37F4FE9,Steel SAE 51410,tempered at 400 F,1310,1000,15,390,200000,769000,0.3,8030,,stainless,
ANSI,0F4ED5D8DDDA49878B98737B31EE7704,Steel SAE 51414,annealed,827,655,17,235,200000,769000,0.3,8030,,stainless,
ANSI,368F676CFAE249A7B63D9784E030FBF3,Steel SAE 51414,tempered at 400 F,1379,1034,15,415,200000,769000,0.3,8030,,stainless,
ANSI,0B4576C8E3494CA59998B37C43635B84,Steel SAE 51416,annealed,517,276,30,155,200000,769000,0.3,8030,,stainless,
ANSI,DF6116BAEBB94C7CB67DC8A355A4AD9A,Steel SAE 51416,tempered at 400 F,1310,1000,15,390,200000,769000,0.3,8030,,stainless,
ANSI,020644C15E8441C981E4E8FF82DD281C,Steel SAE 51420,annealed,655,345,25,195,200000,769000,0.3,8030,,stainless,
ANSI,DFDD071158E2431C82CD795AB2DC3DC9,Steel SAE 51420,tempered at 600 F,1586,1344,8,500,200000,769000,0.3,8030,,stainless,
ANSI,B588F89B72494AD89979B5A898971A81,Steel SAE 51430,annealed,517,310,30,155,200000,769000,0.3,8030,,stainless,
ANSI,D07DDC26D233420EA0F49B857B60E5F4,Steel SAE 51430F,annealed,552,379,25,170,200000,769000,0.3,8030,,stainless,
ANSI,DBB66391CD104B1EA25903F80285091D,Steel SAE 51431,annealed,862,655,20,260,200000,769000,0.3,8030,,stainless,
ANSI,988683DFB80F4128A10413EB124AFC62,Steel SAE 51431,tempered at 400 F,1413,1069,15,415,200000,769000,0.3,8030,,stainless,
ANSI,D970A9AC0D854EBB97207E5C6EB2D265,Steel SAE 51440A,annealed,724,414,20,215,200000,769000,0.3,8030,,stainless,
ANSI,C027925F385841D0AD1F968DEBCD254E,Steel SAE 51440A,tempered at 600 F,1793,1655,5,510,200000,769000,0.3,8030,,stainless,
ANSI,FA49D603FF3347E4B5CC986E959A8EFC,Steel SAE 51440C,annealed,758,448,13,230,200000,769000,0.3,8030,,stainless,
ANSI,DBA461E8D56645BC9FF0B36FE711A2A2,Steel SAE 51440C,tempered at 600 F,1965,1896,2,580,200000,769000,0.3,8030,,stainless,
ANSI,D23675EDD65E421BB310370F720AB7D0,Steel SAE 51446,annealed,552,345,23,170,200000,769000,0.3,8030,,stainless,
ANSI,56F7E502ED9C4D97A0FE7DA3746354EA,Steel SAE 51501,annealed,483,207,28,160,200000,769000,0.3,8030,,stainless,
ANSI,814DE2AA2A454B22AA6F8FC935716E8C,Steel SAE 51502,annealed,483,207,30,150,200000,769000,0.3,8030,,stainless,
ANSI,1A53531B65474FC4B0AFD796A607847B,Grey cast iron class 20,,138,138,,,80000,32000,0.25,7160,248,,
ANSI,67B793906A16472EAA330F83B53F2B8B,Grey cast iron class 25,,172,172,,,98000,39000,0.25,7160,303,,
ANSI,54D9A9F3004F4D2993FB2D4A4BA00F7E,Grey cast iron class 30,,207,207,,,100000,40000,0.25,7160,331,,
ANSI,C656AC5B4EDA4BDC9317FA1E80FAA176,Grey cast iron class 35,,241,241,,,110000,44000,0.25,7160,386,,
ANSI,9F8C072E415F470F9371F8204FCD29FD,Grey cast iron class 40,,276,276,,,117000,47000,0.25,7160,427,,
ANSI,DC242B42288B4E17A62AF551DFAE29B0,Grey cast iron class 50,,345,345,,,124000,50000,0.25,7160,517,,
ANSI,623ABE2B6CFA4DAFA2B7AA4D494B6BDE,Grey cast iron class 60,,414,414,,,137000,55000,0.25,7160,593,,
ANSI,09EB41BD19C947EDBB7978D6AA9CA9FC,Malleable cast iron,,276,207,,,172000,68000,0.27,7160,207,,
ANSI,FF3F801C63B4429E979B9E84FE006818,Malleable cast iron,,414,317,,,172000,68000,0.27,7160,310,,
ANSI,10602E22027C46F39CCD78971940298D,Malleable cast iron,,552,427,,,172000,68000,0.27,7160,414,,
ANSI,9C42EE2F144D41B88593917BD5613DC9,Malleable cast iron,,689,538,,,172000,68000,0.27,7160,517,,
ANSI,CFC0876E42824F0B863D89CE76BB772A,Nodular cast iron,,414,276,,,159000,66000,0.2,7160,331,,
ANSI,83A69C294D084DF6BF26418BF8FEAC5A,Nodular cast iron,,552,365,,,159000,66000,0.2,7160,441,,
ANSI,8D21E01514AC4A40BDF16CF6E6EF5597,Nodular cast iron,,689,455,,,159000,66000,0.2,7160,552,,
ANSI,0E7E6F42B8364BB198D862DA0B262E35,Nodular cast iron,,827,552,,,159000,66000,0.2,7160,662,,
ANSI,B9CF1F99A73C47B8AB2698249F843DD3,Copper Alloy C80100,,172,62,40,,108000,40000,0.35,8930,,,
ANSI,0E041E89343849A7BE8C850C10A34091,High-Copper Alloy C81300,,365,248,11,,108000,40000,0.35,8930,,,
ANSI,D0553F51250E456AA8B54835AB572E33,High-Copper Alloy C81500,,352,276,17,,108000,40000,0.35,8930,,,
ANSI,0D8DE0B29EF24661BA704748332A5BC4,High-Copper Alloy C81700,,634,469,8,,108000,40000,0.35,8930,,,
ANSI,840F372D379146F68A91A79126A11145,Red brass C83300,,221,69,35,,100000,37000,0.34,8500,,,
ANSI,8C254890422F48F38E9B0EF4A3F3AA85,Red brass C83400,,241,69,30,,100000,37000,0.34,8500,,,
ANSI,72620708CE07415AB164155A108F2696,Red brass C83600,,255,117,30,,100000,37000,0.34,8500,,,
ANSI,52E2C8E7BE1A46CF8600AF45032B557A,Red brass C83800,,241,110,25,,100000,37000,0.34,8500,,,
ANSI,49CD50A5574645B2AF1A104282B874FA,Semi-red Brass C84200,,241,97,27,,100000,37000,0.34,8500,,,
ANSI,7EA0EEC4B6944E33BE865E010AD9E1FE,Semi-red Brass C84400,,234,97,26,,100000,37000,0.34,8500,,,
ANSI,4752F3A9E6C843D6AD2FD79532E5DA03,Semi-red Brass C84500,,241,97,28,,100000,37000,0.34,8500,,,
ANSI,C2C45302018642DF8C107C2BB95112C6,Semi-red Brass C84800,,241,97,30,,100000,37000,0.34,8500,,,
ANSI,47F50A9EA5EA431BA6969263CD54D141,Yellow Brass C85200,,262,90,35,,100000,37000,0.34,8500,,,
ANSI,DD97A6D584FD4B61AD281DA8F28B12DD,Yellow Brass C85400,,234,83,35,,100000,37000,0.34,8500,,,
ANSI,CCEAA2C520AA479FB737388690EFAF73,Yellow Brass C85500,,414,159,40,,100000,37000,0.34,8500,,,
ANSI,90BBFEA4894D4DD8862B8D5371A7B002,Yellow Brass C85700,,345,124,40,,100000,37000,0.34,8500,,,
ANSI,BFE334ACA0B54774859C664D0E3426AB,Yellow Brass C85800,,379,207,15,,100000,37000,0.34,8500,,,
ANSI,DE3571FA018D40DCAF02BC37995A5363,Manganese Bronze C86100,,655,345,20,,120000,45000,0.31,8800,,,
ANSI,4FD004DD88A4473183268E6E46EAE803,Manganese Bronze C86200,,655,331,20,,120000,45000,0.31,8800,,,
ANSI,28162DEB693D4A308083CCA71154EF44,Manganese Bronze C86300,,793,572,15,,120000,45000,0.31,8800,,,
ANSI,ACC010BBCB3E454E97BF8A4C4E3CC68C,Manganese Bronze C86400,,448,172,20,,120000,45000,0.31,8800,,,
ANSI,5CFBDD9CC5CC4DA5958A7A687DD79517,Manganese Bronze C86500,,490,193,30,,120000,45000,0.31,8800,,,
ANSI,48D71221F8034321AFCDF00564E7EE5E,Manganese Bronze C86700,,586,290,20,,120000,45000,0.31,8800,,,
ANSI,2A00A95E6A7346C09D15CE4A04792CB8,Manganese Bronze C86800,,565,262,22,,120000,45000,0.31,8800,,,
ANSI,BFBDD1F0C3134BE38D0F28016F8C2EB7,Silicon Brass C87200,,379,172,30,,120000,45000,0.31,8800,,,
ANSI,543461221FE44E8892BD2EAABA2C454B,Silicon Bronze C87400,,379,165,30,,120000,45000,0.31,8800,,,
ANSI,06423909CD5E4B179CE6A6F996E2C553,Silicon Bronze C87500,,462,207,21,,120000,45000,0.31,8800,,,
ANSI,A4FEDB7FBA8B4AC590AA9563FD3D184F,Silicon Bronze C87600,,455,221,20,,120000,45000,0.31,8800,,,
ANSI,139BCFF222284DBD98BAA9E3F857BB56,Silicon Bronze C87800,,586,345,25,,120000,45000,0.31,8800,,,
ANSI,85923B91FFE5458286C4CB03007E6211,Silicon Bronze C87900,,483,241,25,,120000,45000,0.31,8800,,,
